Date,Profit/Losses,,,,,,,,,,,
10-Jan,1088983,,,,,,,,,,,
11-Jan,-589576,,,,,,,,Row Labels,Average of Profit/Losses,,
12-Jan,739367,,,,,,,,Jan,490496.875,,
13-Jan,298510,,,,,,,,Feb,-243721.125,,
14-Jan,878810,,,,,,,,Mar,582594.7143,,
15-Jan,241132,,,,,,,,Apr,258219.8571,,
16-Jan,659541,,,,,,,,May,646785,,
17-Jan,607208,,,,,,,,Jun,194919.2857,,
10-Feb,-354534,,,,,,,,Jul,-178036.8571,,
11-Feb,-883921,,,,,,,,Aug,278766.2857,,
12-Feb,-197825,,,,,,,,Sep,371037.4286,,
13-Feb,163254,,,,,,,,Oct,502638.8571,,
14-Feb,-946748,,,,,,,,Nov,177486.4286,,
15-Feb,1036589,,,,,,,,Dec,107016.4286,,
16-Feb,-1149123,,,,,,,,Grand Total,262374.3953,,
17-Feb,382539,,,,,,,,,,,
10-Mar,276622,,,,,,,,,,,
11-Mar,443564,,,,,,,,Row Labels,Sum of Profit/Losses,,
12-Mar,666016,,,,,,,,Jan,3923975,,
13-Mar,1141840,,,,,,,,Feb,-1949769,,-5873744
14-Mar,340335,,,,,,,,Mar,4078163,,6027932
15-Mar,853904,,,,,,,,Apr,1807539,,-2270624
16-Mar,355882,,,,,,,,May,4527495,,2719956
10-Apr,-728133,,,,,,,,Jun,1364435,,-3163060
11-Apr,837887,,,,,,,,Jul,-1246258,,-2610693
12-Apr,589771,,,,,,,,Aug,1951364,,3197622
13-Apr,542630,,,,,,,,Sep,2597262,,645898
14-Apr,292032,,,,,,,,Oct,3518472,,921210
15-Apr,-388932,,,,,,,,Nov,1242405,,-2276067
16-Apr,662284,,,,,,,,Dec,749115,,-493290
10-May,852993,,,,,,,,Grand Total,22564198,,
11-May,1081472,,,,,,,,,,,
12-May,489290,,,,,,,,,,,
13-May,99841,,,,,,,,Row Labels,Average of Profit/Losses,,
14-May,502266,,,,,,,,Jan,490496.875,,
15-May,982952,,,,,,,,Feb,-243721.125,,-734218
16-May,518681,,,,,,,,Mar,582594.7143,,826315.8393
10-Jun,563721,,,,,,,,Apr,258219.8571,,-324374.8571
11-Jun,464033,,,,,,,,May,646785,,388565.1429
12-Jun,-471439,,,,,,,,Jun,194919.2857,,-451865.7143
13-Jun,752765,,,,,,,,Jul,-178036.8571,,-372956.1429
14-Jun,265852,,,,,,,,Aug,278766.2857,,456803.1429
15-Jun,537759,,,,,,,,Sep,371037.4286,,92271.14286
16-Jun,-748256,,,,,,,,Oct,502638.8571,,131601.4286
10-Jul,-535208,,,,,,,,Nov,177486.4286,,-325152.4286
11-Jul,-1066544,,,,,,,,Dec,107016.4286,,-70470
12-Jul,120417,,,,,,,,Grand Total,262374.3953,,155357.9668
13-Jul,-252949,,,,,,,,,,,
14-Jul,851017,,,,,,,,,,,
15-Jul,547784,,,,,,,,,,,
16-Jul,-910775,,,,,,,,,,,
10-Aug,632349,,,,,,,,,,,
11-Aug,323846,,,,,,,,,,,
12-Aug,175347,,,,,,,,,,,
13-Aug,914424,,,,,,,,,,,
14-Aug,-549615,,,,,,,,,,,
15-Aug,-496214,,,,,,,,,,,
16-Aug,951227,,,,,,,,,,,
10-Sep,-173744,,,,,,,,,,,
11-Sep,-806551,,,,,,,,,,,
12-Sep,855449,,,,,,,,,,,
13-Sep,679524,,,,,,,,,,,
14-Sep,290162,,,,,,,,,,,
15-Sep,854181,,,,,,,,,,,
16-Sep,898241,,,,,,,,,,,
10-Oct,950741,,,,,,,,,,,
11-Oct,487053,,,,,,,,,,,
12-Oct,605195,,,,,,,,,,,
13-Oct,514377,,,,,,,,,,,
14-Oct,755391,,,,,,,,,,,
15-Oct,934719,,,,,,,,,,,
16-Oct,-729004,,,,,,,,,,,
10-Nov,-785750,,,,,,,,,,,
11-Nov,1128811,,,,,,,,,,,
12-Nov,-235220,,,,,,,,,,,
13-Nov,462102,,,,,,,,,,,
14-Nov,1073202,,,,,,,,,,,
15-Nov,-288531,,,,,,,,,,,
16-Nov,-112209,,,,,,,,,,,
10-Dec,-1194133,,,,,,,,,,,
11-Dec,791398,,,,,,,,,,,
12-Dec,347138,,,,,,,,,,,
13-Dec,159782,,,,,,,,,,,
14-Dec,313000,,,,,,,,,,,
15-Dec,-184383,,,,,,,,,,,
16-Dec,516313,,,,,,,,,,,
